Время;Работа;Расширенная информация;Ссылка;Компания;Город
" 3 дня назад
";Junior QA Automation Engineer (Python) (IRC95520);" GlobalLogic Ukraine is inviting a Junior QA Automation Engineer to join its Kyiv office.Leading provider of Vendor Management System technologies globally,...
";https://rabota.ua/company794/vacancy8007898;GlobalLogic Ukraine;Киев
" 3 дня назад
";DevOps Engineer;" Our client is one of the world's mobile game companies with millions of players worldwide.The team is looking for a talanted DevOps engineer, who is ready...
";https://rabota.ua/company236483/vacancy7930667;Capital Recruiters;Киев
" 3 дня назад
";Golang Developer, Traffic Management Solutions;" The client is the market leader in the development of DNS server software for traffic management. The DNS system created by this company is connected via...
";https://rabota.ua/company277662/vacancy8000660;DataArt;Херсон
" 3 дня назад
";Python-програміст;" Python-програміст Місце роботи: в офісі м. Київ, Миколаїв, ПолтаваРобочий час: повний робочий день (графік роботи обговорюється окремо та затверджується...
";https://rabota.ua/company592267/vacancy7803273;ТАНГРАМ, група компаній;Николаев
" 3 дня назад
";Python-програміст;" Python-програміст Місце роботи: в офісі м. Київ, Миколаїв, ПолтаваРобочий час: повний робочий день (графік роботи обговорюється окремо та затверджується...
";https://rabota.ua/company592267/vacancy7803272;ТАНГРАМ, група компаній;Полтава
" 3 дня назад
";Python developer, C# dev;" Привет! Обычно здесь пишут о достижениях и великолепии компании, но это те вещи, о которых нужно не говорить, а показывать на деле. Я вам предлагаю ознакомиться...
";https://rabota.ua/company2969172/vacancy8014025;Profit Center ;Киев
" 3 дня назад
";Senior Data Engineer (IRC95513);" GlobalLogic Ukraine is inviting a Senior Data Engineer to join its Kyiv office.Leading provider of Vendor Management System technologies globally, with...
";https://rabota.ua/company794/vacancy8007588;GlobalLogic Ukraine;Киев
" 3 дня назад
";Tech Lead Data Engineer (IRC95512);" GlobalLogic Ukraine is inviting a Tech Lead Data Engineer to join its Kyiv office.Leading provider of Vendor Management System technologies globally, with...
";https://rabota.ua/company794/vacancy8007590;GlobalLogic Ukraine;Киев
" 3 дня назад
";Middle Data Engineer (IRC95516);" GlobalLogic Ukraine is inviting a Middle Data Engineer to join its Kyiv office.Leading provider of Vendor Management System technologies globally, with...
";https://rabota.ua/company794/vacancy8007593;GlobalLogic Ukraine;Киев
" 3 дня назад
";Data Engineer (Python, ETL);" Ми шукаємо Інженера по роботі з даними, який допоможе нам розширити і наповнити озеро даних, що працює на AWS. Ми використовуємо нативні компоненти AWS,...
";https://rabota.ua/company2007908/vacancy7837135;KITCODE;Киев
" 3 дня назад
";Data Analyst;" We are looking for a Data Analyst to join our team in Kharkiv! The Data Analyst in our Risk team contributes to GeoGuard's success by researching and reviewing...
";https://rabota.ua/company6228708/vacancy8013354;GeoGuard;Харьков
" 3 дня назад
";Data scientist;" Необходимые навыки:Опыт работы с Python (Pandas, NumPy,bs4,sklearn,scipy...);Знание основных методов машинного обучения (regression, clustering, decision...
";https://rabota.ua/company1590638/vacancy7992427;EvoPlay;Киев
" 3 дня назад
";Python Engineer for Automotive Project (IRC95800);" GlobalLogic Ukraine is inviting a Python Engineer to join its Kyiv office.Due to intensive growth, GlobalLogic Automotive department is glad to invite...
";https://rabota.ua/company794/vacancy8000546;GlobalLogic Ukraine;Киев
